SKIP_VERSION_CONFIRM;Tem certeza que não quer mais instalar essa versão e não ser mais lembrado disso?
CONTEXT_MENU_UNDO;Desfazer
CONTEXT_MENU_REDO;Refazer
CONTEXT_MENU_CUT;Recortar
CONTEXT_MENU_COPY;Copiar
CONTEXT_MENU_PASTE;Colar
CONTEXT_MENU_DELETE;Deletar
CONTEXT_MENU_SELECT_ALL;Selecionar tudo
SPLIT;Dividir
SELECT_TEXTURE;Textura
SELECT_DATA_FILE;Arquivo de Dados
SPLITTER;Recompactar / Dividir sheet
SPLITTER_ERROR_NO_FRAMES;Sprites não encontrados. Provavelmente, o formato do Atlas está incorreto .
DISABLE_UNTRIM;Desabilitar recorte:
REPACK;Recompactar
